name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
6 Greeves Street St Kilda VIC 3182,$520,"[-37.8647904, 144.9835915]","['3 Beds', '1 Bath', '− Parking']","A beautiful 3 bedroom Edwardian home close to Acland street shops tram and the beach, must inspect to appreciate.
You could not ask for a more convenient location with shopping, restaurants, parks and public transport all with easy access.",$2225,House,"['0.6 km away', '1.9 km away', '4.8 km away']"
15 Pine Avenue Briar Hill VIC 3088,$450 per week,"[-37.7048046, 145.1261813]","['3 Beds', '1 Bath', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.6 km away', '1.5 km away']"
1 Matthew Close Keysborough VIC 3173,$410 per week,"[-37.9966423, 145.1708607]","['3 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Saturday, 22nd October 2022",House,"['0.9 km away', '1.7 km away', '3.4 km away']"
217 Murray Rd Preston VIC 3072,$550,"[-37.7384813, 145.0065188]","['3 Beds', '2 Baths', '4 Parking', '380m² ']","This neat and tidy solid brick veneer home comprises of 3 spacious bedrooms with built in robes
Timber Kitchen with gas appliances.
Separate living and meals area.
Heating and cooling
Big bathroom with separate new shower
Modern light fittings throughout house
Long driveway with single garage
Good size back yard
Walking distance to High St &amp; Plenty Rd
Walking distance to Preston Market &amp; Preston","Saturday, 8th October 2022",House,"['0.3 km away', '0.9 km away', '2.6 km away']"
88 Edgevale Way Tarneit VIC 3029,$375 per Week,"[-37.8433691, 144.6965698]","['3 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 20th September 2022",House,"['0.2 km away', '1.9 km away', '1.9 km away']"
2 Roberts Road Cranbourne VIC 3977,$450 pw,"[-38.0960917, 145.2713541]","['3 Beds', '2 Baths', '2 Parking']","Superbly located in the heart of Cranbourne, short drive to Cranbourne shopping center and Cranbourne station.",Available Now,House,"['0.8 km away', '1.9 km away', '10.3 km away']"
7 Solar Way Mickleham VIC 3064,$380 per week,"[-37.5710948, 144.8908515]","['3 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['1.5 km away', '3 km away']"
1 Serendip Court Narre Warren VIC 3805,"$460pw | $1,999pcm","[-38.0029006, 145.3148027]","['3 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.4 km away', '1.6 km away', '1.8 km away']"
16 Meredith Crescent Hampton Park VIC 3976,$365,"[-38.0419157, 145.2780471]","['3 Beds', '1 Bath', '3 Parking']","Located in a quiet place with a decent neighbourhood in Hampton Park within short walking distance to Kilberry Valley Primary School, Coral Park Primary School, Narre Warren South P-12 colleague etc; close to Hampton Park shopping centre; easy access to South Gippsland Freeway and Hallam Railway Station; public bus transportation around the corner. ","Saturday, 24th September 2022",House,"['0.3 km away', '14.7 km away', '22.9 km away']"
10 Jane Street Berwick VIC 3806,$395,"[-38.0348348, 145.3398192]","['3 Beds', '1 Bath', '2 Parking']","This well presented 3-bedroom family home is perfect for small families or those wishing to downsize. Located in a convenient place in Berwick with proximity to popular schools including St Margaret's, Berwick grammar school, Berwick lodge primary school, Nossal High School, Federation University Australia, Chisholm Institute, local shopping centres including Berwick Shopping Centre and a","Tuesday, 11th October 2022",Apartment / Unit / Flat,"['1.2 km away', '2.2 km away', '19.7 km away']"
