name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
9 Masked Owl Road South Morang VIC 3752,$450pw/$1955pcm,"[-37.6340974, 145.092975]","['4 Beds', '2 Baths', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 21st October 2022",House,"['1.4 km away', '7.8 km away']"
11A Strathearn Avenue Murrumbeena VIC 3163,"$1,150.00","[-37.90617659999999, 145.067535]","['4 Beds', '3 Baths', '3 Parking']",This superbly designed and built townhouse street facing - has four bedrooms and all the modern amenities to ensure a safe and comfortable home.,"Friday, 23rd September 2022",Townhouse,"['0.9 km away', '1.7 km away', '2.3 km away']"
18 Reddington Way Wyndham Vale VIC 3024,$380 pw,"[-37.8900247, 144.607075]","['4 Beds', '2 Baths', '2 Parking']","This Well designed East facing Family home built on a great 425m2 (approx) allotment, located in the popular estate of Bluestone in Wyndham Vale.
This Ideally planned home offers four bedrooms and open plan living. The master bedroom offers WIR and its own ensuite and the remaining three rooms have BIR.
This Home is a short walk from Wyndham square shopping Centre &amp; Wyndham Vale Primary School. A","Monday, 19th September 2022",House,"['0.7 km away', '1.8 km away']"
4 Pronto Drive Kalkallo VIC 3064,$495,"[-37.5256012, 144.963181]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['7 km away', '16.4 km away']"
2 Horace Street Point Cook VIC 3030,$450.00 per week,"[-37.88308809999999, 144.7136826]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['1.6 km away', '1.7 km away']"
13 (Lot 235) Point Boulevard Point Lonsdale VIC 3225,$625 weekly,"[-38.2688245, 144.6104164]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 19th October 2022",House,"['1.1 km away', '9.8 km away']"
268 Church Street Hamlyn Heights VIC 3215,$550.00,"[-38.12912050000001, 144.3287188]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 23rd September 2022",House,"['0.3 km away', '0.7 km away', '1.8 km away']"
7 Goldsmith Close Endeavour Hills VIC 3802,$500.00,"[-37.9848419, 145.2590059]","['4 Beds', '2 Baths', '4 Parking']","Located in the heart of Endeavour Hills, this gorgeous family home is exactly what you've been looking for. with magnificent views as well, this surely isn't one to be missed.","Tuesday, 20th September 2022",House,"['0.6 km away', '1.5 km away', '1.8 km away']"
494 Abbotsford Street North Melbourne VIC 3051,"THE DEAL: $1,295 PER WEEK","[-37.79459200000001, 144.947216]","['4 Beds', '2 Baths', '− Parking', '138m² ']",Hollie Mannering,"Wednesday, 19th October 2022",House,"['0.5 km away', '0.8 km away']"
130 Stanley Road Keysborough VIC 3173,$850.00,"[-38.0040772, 145.1668393]","['4 Beds', '2 Baths', '2 Parking']",Kelly Amor,"Saturday, 24th September 2022",House,"['0.8 km away', '2.5 km away', '4.2 km away']"
3 Kidd Street Deanside VIC 3336,$450 pw,"[-37.7243926, 144.722932]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 20th September 2022",House,"['1.1 km away', '1.6 km away', '8.8 km away']"
185 Cecil Street Williamstown VIC 3016,$950.00,"[-37.8594106, 144.8989654]","['4 Beds', '3 Baths', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Sunday, 9th October 2022",House,"['0.5 km away', '1.2 km away', '9.6 km away']"
14 McDonalds Road Epping VIC 3076,$500,"[-37.6450006, 145.0350838]","['4 Beds', '1 Bath', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 19th September 2022",House,"['0.2 km away', '3 km away']"
39 Nectar Street Mickleham VIC 3064,$430 per week,"[-37.5475697, 144.8888546]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 17th October 2022",House,['2 km away']
22 Coburns Road Melton South VIC 3338,$370 pw,"[-37.70075300000001, 144.5654041]","['4 Beds', '2 Baths', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 19th September 2022",House,"['0.8 km away', '0.9 km away', '2.3 km away']"
1/15 Hillcrest Drive Westmeadows VIC 3049,$550PW |$2390PCM,"[-37.6806805, 144.8731932]","['4 Beds', '3 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Townhouse,"['1.5 km away', '1.8 km away']"
19 Durlston Street Point Cook VIC 3030,$420 per week,"[-37.9036809, 144.7566207]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 19th September 2022",House,"['1.4 km away', '1.4 km away', '2.4 km away']"
240 Roslyn Rd Highton VIC 3216,$750 weekly,"[-38.1717051, 144.3145466]","['4 Beds', '2 Baths', '2 Parking', '1,677m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 23rd September 2022",House,"['0.2 km away', '1.5 km away', '4.2 km away']"
29 Coogee Avenue Frankston VIC 3199,$650 per week,"[-38.1597096, 145.1403641]","['4 Beds', '2 Baths', '3 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.6 km away', '1 km away', '2.4 km away']"
18 Warrawee Avenue Noble Park VIC 3174,$550 per week,"[-37.9817873, 145.1685862]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 30th September 2022",House,"['0.3 km away', '1.2 km away', '1.8 km away']"
9 Parer Street Oakleigh VIC 3166,$540,"[-37.909341, 145.0979088]","['4 Beds', '2 Baths', '− Parking']",David Hua,"Thursday, 20th October 2022",House,"['0.6 km away', '1.6 km away', '3.7 km away']"
11 Cavender Street Mernda VIC 3754,$650 Per Week,"[-37.5996872, 145.0886978]","['4 Beds', '2 Baths', '− Parking', '302.79m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.5 km away', '9.9 km away']"
1 Bloodstone Way Cranbourne East VIC 3977,$500 weekly,"[-38.1303631, 145.3139647]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['1.1 km away', '2.9 km away', '15.1 km away']"
500 HARVEST HOME ROAD Epping VIC 3076,$460,"[-37.6245971, 144.9970283]","['4 Beds', '2 Baths', '2 Parking']","This immaculately presented and only 12 months old is this beautifully executed 4-bedroom home! Downstairs features: a chef's kitchen with 900 freestanding oven, stone bench tops and walk in pantry which overlooks the open plan living and dining. Upstairs the master bedroom is complete with full ensuite and walk in robe, built in robes to other bedrooms and stylish family bathroom. Other features","Thursday, 13th October 2022",House,"['0.6 km away', '1.2 km away', '5 km away']"
