name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
808/243 Franklin Street Melbourne VIC 3000,$500,"[-37.809763, 144.9569891]","['2 Beds', '1 Bath', '− Parking']",Christian Hidayat,"Tuesday, 18th October 2022",Apartment / Unit / Flat,"['1.4 km away', '1.4 km away']"
39 Hinkins Street Moonee Ponds VIC 3039,$690 per week,"[-37.7677904, 144.9264717]","['2 Beds', '2 Baths', '1 Parking']",Andrew D'Aprano,"Tuesday, 15th November 2022",House,"['0.7 km away', '1.7 km away', '8.8 km away']"
8/142 New Street Brighton VIC 3186,$515.00,"[-37.9178144, 144.9931332]","['2 Beds', '1 Bath', '1 Parking']",Ben McDonald,"Monday, 10th October 2022",Apartment / Unit / Flat,"['0.5 km away', '2.3 km away', '6.1 km away']"
2/1 Oak Grove Brighton VIC 3186,"$1,125 per week","[-37.9021502, 145.0014906]","['4 Beds', '2 Baths', '2 Parking']",Heidi Rodgers,"Saturday, 29th October 2022",Townhouse,"['1.1 km away', '2.5 km away', '6 km away']"
G02/23 Kurneh Place South Yarra VIC 3141,$3000 Per Week,"[-37.8338574, 144.9845385]","['3 Beds', '3 Baths', '2 Parking']",Evelyne Surja,"Tuesday, 4th October 2022",Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '2.4 km away']"
 2/5 Murrumbeena Road Murrumbeena VIC 3163,$480.00,"[-37.8851775, 145.066932]","['2 Beds', '1 Bath', '1 Parking']",Katie Love,"Thursday, 3rd November 2022",Apartment / Unit / Flat,"['0.3 km away', '2.5 km away', '4.6 km away']"
303/8 Elliott Ave Carnegie VIC 3163,$365.00,"[-37.8886161, 145.0606001]","['1 Bed', '1 Bath', '1 Parking']",Connor Delany,"Friday, 7th October 2022",Apartment / Unit / Flat,"['0.6 km away', '2 km away', '4.2 km away']"
701/11 Urquhart Street Coburg VIC 3058,$450,"[-37.73988689999999, 144.9681533]","['2 Beds', '2 Baths', '1 Parking']",Kim Te,"Tuesday, 8th November 2022",Apartment / Unit / Flat,"['0.1 km away', '0.4 km away']"
207/1 Lygon Street Brunswick VIC 3056,$350,"[-37.77862810000001, 144.9703546]","['1 Bed', '1 Bath', '− Parking']",Lorenzo Lazo,Available Now,Apartment / Unit / Flat,"['0.2 km away', '0.7 km away', '2.2 km away']"
1410/668 Bourke Street Melbourne VIC 3000,$450 Per Week,"[-37.8166152, 144.9542789]","['1 Bed', '1 Bath', '1 Parking']",South Melbourne Leasing,"Thursday, 3rd November 2022",Apartment / Unit / Flat,['2.2 km away']
7B York Street Brighton VIC 3186,$630.00,"[-37.9096629, 145.002731]","['2 Beds', '2 Baths', '1 Parking']",Ben McDonald,"Saturday, 15th October 2022",Townhouse,"['0.2 km away', '1.9 km away', '5.6 km away']"
15 Lord Street Richmond VIC 3121,$675 per week,"[-37.8206882, 145.0051173]","['2 Beds', '2 Baths', '1 Parking']",Ethan Labza,"Monday, 21st November 2022",House,"['0.4 km away', '0.5 km away', '0.7 km away']"
1/19 Irving Avenue Prahran VIC 3181,$300 Per Week,"[-37.8577227, 145.0069062]","['1 Bed', '1 Bath', '1 Parking']",Tom Koller,Available Now,Apartment / Unit / Flat,"['1 km away', '1.5 km away', '6.2 km away']"
17 James St Richmond VIC 3121,Contact Agent,"[-37.82735419999999, 145.0003207]","['3 Beds', '3 Baths', '2 Parking']",Vanessa Dell'Arciprete,"Monday, 31st October 2022",House,"['0.3 km away', '1.1 km away', '1.2 km away']"
2/9-11 Woolert Street Ashwood VIC 3147,$530,"[-37.8699823, 145.1015941]","['3 Beds', '2 Baths', '2 Parking']",David Hua,"Tuesday, 4th October 2022",Apartment / Unit / Flat,"['0.7 km away', '0.9 km away', '1.2 km away']"
2/66 Hoddle Street Abbotsford VIC 3067,$500 per week,"[-37.8064534, 144.9921862]","['2 Beds', '1 Bath', '− Parking']",Ethan Labza,"Thursday, 17th November 2022",Apartment / Unit / Flat,['0.4 km away']
46-48 Wells Road Beaumaris VIC 3193,"$2,250.00","[-37.9837637, 145.0499964]","['5 Beds', '3 Baths', '2 Parking']",Steven Biggins,"Friday, 7th October 2022",House,"['0.5 km away', '1.1 km away', '1.5 km away']"
1/78 Forrester Street Essendon VIC 3040,$265 per week,"[-37.7511763, 144.8918939]","['2 Beds', '1 Bath', '1 Parking']",Simone Speakman,Available Now,Apartment / Unit / Flat,"['0.7 km away', '0.7 km away', '5.8 km away']"
9/45 Robe Street St Kilda VIC 3182,$400 per week,"[-37.8642505, 144.979276]","['2 Beds', '1 Bath', '1 Parking']",Jess Eude,"Tuesday, 11th October 2022",Apartment / Unit / Flat,"['1 km away', '2 km away', '4.5 km away']"
1004/8 Franklin Street Melbourne VIC 3000,$520 Per Week,"[-37.8074591, 144.9619559]","['2 Beds', '1 Bath', '− Parking']",South Melbourne Leasing,"Friday, 11th November 2022",Apartment / Unit / Flat,"['0.9 km away', '1.3 km away']"
1/123 McDonald St Mordialloc VIC 3195,$500 weekly,"[-38.00073020000001, 145.0986629]","['2 Beds', '2 Baths', '1 Parking']",Renee Whitehouse,"Wednesday, 5th October 2022",Apartment / Unit / Flat,"['1 km away', '1.3 km away', '1.5 km away']"
7/24 Featherpark Way Craigieburn VIC 3064,$360 weekly,"[-37.5744131, 144.9173494]","['3 Beds', '2 Baths', '2 Parking']",Renee Whitehouse,"Monday, 17th October 2022",Townhouse,"['0.7 km away', '15.1 km away']"
46 Maloney St Kensington VIC 3031,$580 weekly,"[-37.789188, 144.927804]","['3 Beds', '1 Bath', '1 Parking']",Madison Bugeja,"Wednesday, 26th October 2022",House,"['0.4 km away', '0.9 km away', '9.4 km away']"
31 Birdie/View Birdie View Cranbourne North VIC 3977,$640,"[-38.0732132, 145.2770107]","['4 Beds', '3 Baths', '2 Parking']",Marcel Koning,Available Now,House,"['0.5 km away', '1 km away', '12.9 km away']"
31 Birdie View Cranbourne North VIC 3977,$650,"[-38.0732132, 145.2770107]","['4 Beds', '3 Baths', '2 Parking']",Marcel Koning,Available Now,House,"['0.5 km away', '1 km away', '12.9 km away']"
2/26 Park Crescent Caulfield VIC 3162,$300.00 Per Week,"[-37.8725257, 145.0349125]","['1 Bed', '1 Bath', '1 Parking']",Bailey Topfer,Available Now,Apartment / Unit / Flat,"['0.3 km away', '1.5 km away', '6.5 km away']"
473B Neerim Road Murrumbeena VIC 3163,$600 weekly,"[-37.89108, 145.0702489]","['4 Beds', '1 Bath', '2 Parking']",Zoe Swinnerton,"Wednesday, 19th October 2022",House,"['0.5 km away', '2.9 km away', '4 km away']"
