name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
54 Ormiston Crescent Werribee VIC 3030,$620,"[-37.9045921, 144.6197874]","['5 Beds', '5 Baths', '2 Parking']","Brand new 5-bedroom home that comes with a timeless appeal, quality finishes and in an excellent location, is a testament to comfortable living. Basking in an abundance of natural light that flows through the home is indulgently spacious with numerous living areas of all to enjoy, gives you a great sense of space &amp; comfort throughout.
Upon grand double door entrance downstairs, you will find",Available Now,House,['3.4 km away']
87 Union Road Ascot Vale VIC 3032,$880 P/W,"[-37.7770172, 144.9150343]","['5 Beds', '2 Baths', '2 Parking']","The property consists of 3 bedrooms and 1 bathroom internally and a separate bungalow which provides 2 bedrooms and a separate bathroom. Internet is accessible to the bungalow. Other features include split systems, a study nook. Located close to public transport with a bus stop and tram stop across the road and a short drive to the shops.",Available Now,House,"['0.5 km away', '1.7 km away', '7.9 km away']"
54 Elmhurst Road Gladstone Park VIC 3043,"$500.00 PW / $2,173.00","[-37.6959716, 144.891045]","['5 Beds', '2 Baths', '2 Parking', '535m² ']","This beautiful family home offers fantastic space both inside and out, allowing the whole family to stretch out and enjoy. The spacious floor plan is highlighted by an open plan feel, boasting a formal lounge and dining room, a central timber kitchen with natural light, an adjoining meals/family room and laundry. The bright kitchen includes stainless steel dishwasher, new oven/cooktop, leadlight","Saturday, 24th September 2022",House,"['0.8 km away', '0.9 km away']"
6 Elenya Court Frankston VIC 3199,$650 pw,"[-38.13776540000001, 145.1687369]","['5 Beds', '2 Baths', '3 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 30th September 2022",House,"['0.4 km away', '0.6 km away', '1.2 km away']"
20 Astley Wynd Lynbrook VIC 3975,$610,"[-38.0472882, 145.2482351]","['5 Beds', '2 Baths', '4 Parking']","This property will impress those looking for an elegant and exquisite home. Features include:
-Five bedrooms
-Formal lounge plus separate living area
-Spacious kitchen perfect for entertaining over looking spacious meals area
-Large main bathroom with spa bath
-Separate toilet with its own basin
-Evaporative cooling &amp; ducted heating
-Two spacious under cover areas
-Remote access double garage",Available Now,House,"['0.5 km away', '1.7 km away', '12.3 km away']"
43 Bent St Caulfield South VIC 3162,"$1,200 weekly","[-37.8934323, 145.0326079]","['5 Beds', '2 Baths', '2 Parking']",Leasing Concierge,"Friday, 30th September 2022",House,"['0.3 km away', '1 km away', '4.5 km away']"
2/1594 Dandenong Road Huntingdale VIC 3166,$650 per week,"[-37.9036873, 145.1093983]","['5 Beds', '3 Baths', '1 Parking']",This almost brand new townhouse has all you need. It features spacious lounge room and kitchen with meal area downstairs. ,"Saturday, 1st October 2022",Townhouse,"['0.4 km away', '2.7 km away', '4.9 km away']"
29 Marquis Avenue Mornington VIC 3931,$800 weekly,"[-38.2471212, 145.0603848]","['5 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 5th October 2022",House,"['0.1 km away', '3.2 km away', '15.9 km away']"
10 Katta Court Ashwood VIC 3147,$560.00,"[-37.8707445, 145.1034031]","['5 Beds', '1 Bath', '4 Parking']",Rachel Sawyer,"Friday, 30th September 2022",House,"['0.7 km away', '0.9 km away', '1.3 km away']"
20 Hessel Avenue Doreen VIC 3754,$650,"[-37.6025633, 145.1215283]","['5 Beds', '2 Baths', '2 Parking', '611m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,['0.5 km away']
84 Turpentine Road Brookfield VIC 3338,$460,"[-37.6920956, 144.5398468]","['5 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['2.2 km away', '2.6 km away', '2.8 km away']"
