name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
10 Glenville Drive Melton VIC 3337,$33 to $65,"[-37.686668, 144.593053]",[],"Running out of Space....Then call us regarding Extra Space Self Storage. Household, commercial, cars &amp; boats. New and modern storage units, 7 day access, security cameras and coded gate system. Unit sizes available:
* 3 x 3 (2.4m high) $145 per calendar month, * 3 x 6 (2.4m high) $245 per calendar month, * 3 x 7.5 (3 m high) $280 per calendar month, * Key bond $150 deposit is refundable. Minimum",$150,Apartment / Unit / Flat,"['0.9 km away', '1.6 km away', '2.3 km away']"
32 St Edmonds Rd Prahran VIC 3181,$40 per week,"[-37.8501194, 144.9920021]","['− 0 Beds', '1 Bath', '1 Parking']",PROPERTY ID: 7906 (quote when calling),Available Now,Apartment / Unit / Flat,"['0.2 km away', '0.9 km away', '3.6 km away']"
CP1507/442 Elizabeth Street Melbourne VIC 3000,$50,"[-37.8090217, 144.9608512]","['− 0 Beds', '− 0 Baths', '1 Parking']",". Secure indoor car space available for rent in Melbourne CBD.
. Located at 442 Elizabeth Street, Melbourne, VIC 3000.
. Available: 01/06/2022",Available Now,Apartment / Unit / Flat,"['1.1 km away', '1.4 km away']"
Car Space/6 Leicester Street Carlton VIC 3053,$220 per month,"[-37.802927, 144.9606235]","['1 Bed', '1 Bath', '1 Parking']",Car space for rent in an excellent location.,Available Now,House,"['0.8 km away', '0.8 km away']"
Carpark604/8 Pearl River Road Docklands VIC 3008,$50 per week,"[-37.8129453, 144.9365953]","['− 0 Beds', '− 0 Baths', '1 Parking']",Available on 8th Apr 2022.,Available Now,House,['2.4 km away']
CP831/888 Collins Street Docklands VIC 3008,$50,"[-37.8207394, 144.9480769]","['− 0 Beds', '1 Bath', '1 Parking']",". Secure indoor car space available for rent in Melbourne CBD.
. Located at 888 Collins Street, Docklands, VIC 3008.
. Available: NOW",Available Now,Apartment / Unit / Flat,['2.7 km away']
Carpark451/401 Docklands Drive Docklands VIC 3008,$50 per week,"[-37.8146686, 144.9383432]","['− 0 Beds', '− 0 Baths', '1 Parking']",****CP451/401 Docklands Drive****,"Saturday, 8th October 2022",House,['2.5 km away']
Car Park 31 A'Beckett Street Melbourne VIC 3000,$50,"[-37.809745, 144.958777]","['− 0 Beds', '− 0 Baths', '1 Parking']","Car park for rent close to RMIT, Melbourne centre, 12 months lease available 
Available now!",Available Now,House,"['1.3 km away', '1.4 km away']"
Hall/90-110 Smythe Street Portarlington VIC 3223,$50 per hour,"[-38.1209242, 144.6521696]","['− 0 Beds', '2 Baths', '1 Parking']","Hall available for hourly hire in Smythe Street, Portarlington.
Ideal for clubs, social groups, gym, pilates, yoga venue, or Tuition classes.
Available 7 days a week with substantial car parking.
One large space, plus kitchen facilities, and men and ladies toilets.
Rates can be negotiable for long term leasing.
Enquiries please call L J Hooker St Leonards P 5257 1744",Available Now,Apartment / Unit / Flat,"['0.6 km away', '11.4 km away']"
Carpark5118/70 Southbank Boulevard Southbank VIC 3006,$50 per week,"[-37.8231648, 144.9661124]","['− 0 Beds', '− 0 Baths', '1 Parking']",Available on 20th May 2022.,Available Now,House,"['1.3 km away', '2.6 km away', '3.1 km away']"
