name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
667 Glenhuntly Road Caulfield VIC 3162,"$38,000 p.a. Incl. Outgoings + GST","[-37.8860233, 145.0173065]",[],Can you hear it? Opportunity knocking!! ,Available Now,House,"['0.3 km away', '1.8 km away', '6 km away']"
Upstairs 2C Staley Street Brunswick VIC 3056,"$35,000 Annually","[-37.7655919, 144.9633048]","['− 0 Beds', '− 0 Baths', '2 Parking']","1st floor offices/studios
Easy walking distance to Sydney Road and public transport
Ideal offices, dance studio, fitness studio, art studio
Includes tearoom, toilets, 2 undercover car-spaces
Approx 337sqm",Available Now,House,"['0.8 km away', '1.2 km away', '2.1 km away']"
"Level 3, 302/13-15 Lake Street Caroline Springs VIC 3023",4125000 pw,"[-37.7316459, 144.7446886]",[],"- Centrally located with tranquil views.
- Lettable area from 110m2 approximately 
- partitioned throughout
- Ample staff and client parking
- Excellent main road exposure
- Fully air-conditioned throughout (heating and cooling)
- Major growth corridor location with enormous catchment
- Rare opportunity to lease in a desirable location.
- Centrally positioned abutting Caroline Springs Square and",Available Now,Apartment / Unit / Flat,"['0.4 km away', '0.7 km away', '6.7 km away']"
901 & 902/85 Market Street South Melbourne VIC 3205,$6000.00 per week,"[-37.8301164, 144.9569041]","['3 Beds', '3 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.3 km away', '1.5 km away', '1.8 km away']"
9 Lansdowne Street Blairgowrie VIC 3942,"$5,000 per week","[-38.372703, 144.7856897]","['3 Beds', '2 Baths', '3 Parking', '700m² ']",Phone enquiry code for this property : 2751,"Friday, 23rd December 2022",House,"['3.3 km away', '8.9 km away']"
3502/14-16 The Esplanade St Kilda VIC 3182,"$5,000","[-37.8650177, 144.9746821]","['3 Beds', '3 Baths', '3 Parking']","Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage.",Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
4203/35 Spring St Melbourne VIC 3004,"$4,500.00","[-37.8141725, 144.9740049]","['3 Beds', '2 Baths', '4 Parking']",Lilly Schneider,Available Now,Apartment / Unit / Flat,"['1.4 km away', '1.9 km away']"
24 Normanby Street Brighton VIC 3186,$4200 Per Week,"[-37.9114762, 144.9889585]","['4 Beds', '4 Baths', '4 Parking']",Tamara Uzelac,"Tuesday, 18th October 2022",House,"['1.2 km away', '2.8 km away', '6.6 km away']"
335 The Esplanade Indented Head VIC 3223,"$3,775 wk $545 pn","[-38.1439923, 144.7147899]","['4 Beds', '3 Baths', '− Parking']",This stylish 4 bedroom home will surely make your holiday one to remember.,Available Now,House,"['3.1 km away', '14.8 km away']"
50 South Wharf Drive Docklands VIC 3008,$3750 per week,"[-37.8223967, 144.938237]","['5 Beds', '6 Baths', '3 Parking']","This spectacular five bedroom freehold waterfront residence can only be described as 'exceptional'. Designed over several levels to maximise the water views and its immediate wow factor, this impressive showpiece provides an imposing entry, a first class Miele kitchen with coffee machine, steamer oven, induction cooking, wine fridge &amp; integrated fridge/freezer with Italian Carrera marble benchtops",Available Now,Townhouse,"['1.5 km away', '1.6 km away', '2.6 km away']"
1018/280 Albert Street East Melbourne VIC 3002,"Sub-Penthouse | $3,500pw","[-37.8097936, 144.9817503]","['3 Beds', '2 Baths', '3 Parking']","Welcome to 'The Eastbourne', Melbourne's exclusive inner city Eden. ","Wednesday, 26th October 2022",Apartment / Unit / Flat,"['1.1 km away', '7.6 km away']"
7 Haverbrack Avenue Malvern VIC 3144,$3500 Per Week,"[-37.8534875, 145.0311415]","['5 Beds', '4 Baths', '2 Parking']",Darren McMullin,Available Now,House,"['0.4 km away', '2 km away', '8.1 km away']"
5 Wellington Street Brighton VIC 3186,$3300 Per Week,"[-37.915482, 144.9891089]","['4 Beds', '3 Baths', '2 Parking']","Ground-breaking design brings architectural magnificence to this as-new home, metres from the beach and moments from Church Street. The location on the corner of Albert Street adds a prestige cache to this remarkable retreat, featuring the most luxurious finishes, warehouse-inspired spaces, and a self-cleaning pool and spa as part of the parents' retreat.","Friday, 18th November 2022",House,"['0.9 km away', '2.7 km away', '6.5 km away']"
15 Kent Avenue Brighton VIC 3186,"$3,200.00","[-37.89642389999999, 144.9875856]","['4 Beds', '4 Baths', '4 Parking']",Richard Beck,"Saturday, 8th October 2022",House,"['1 km away', '1.6 km away', '7.4 km away']"
1302/14-16 The Esplanade St Kilda VIC 3182,"$3,200","[-37.8650177, 144.9746821]","['2 Beds', '3 Baths', '2 Parking', '151m² ']",Kelsey Proskewitz,Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
Brighton VIC 3186,Fine Furnished Residences at Westprecinct,"[-37.9043383, 144.9931825]","['6 Beds', '4 Baths', '4 Parking']",*Private inspections only at suggested times or by appointment*,,Apartment / Unit / Flat,"['1.1 km away', '2.6 km away', '6.5 km away']"
7302/462 Elizabeth Street Melbourne VIC 3000,"$3,100 per week","[-37.807859, 144.960611]","['3 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['1 km away', '1.3 km away']"
10 Margarita St Hampton VIC 3188,Leased,"[-37.9302634, 145.0000624]","['5 Beds', '4 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 4th October 2022",House,"['0.5 km away', '2 km away', '5.5 km away']"
1204/14-16 The Esplanade St Kilda VIC 3182,"$3,000","[-37.8650177, 144.9746821]","['3 Beds', '3 Baths', '3 Parking']",Kelsey Proskewitz,Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
2202/14-16 The Esplanade St Kilda VIC 3182,"$3,000","[-37.8650177, 144.9746821]","['3 Beds', '2 Baths', '2 Parking']","Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage. Saint Moritz is a lush resort-style oasis of three private",Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
9/744 Orrong Road Toorak VIC 3142,"$3,000.00","[-37.8384779, 145.0148269]","['3 Beds', '3 Baths', '2 Parking']",Danielle Crumblehulme,Available Now,Apartment / Unit / Flat,"['0.9 km away', '1.8 km away', '2.6 km away']"
9/9-11 Adamson Street Brighton VIC 3186,"$2,900 per week","[-37.9152565, 144.9991801]","['3 Beds', '3 Baths', '2 Parking']",Heidi Rodgers,"Saturday, 8th October 2022",Apartment / Unit / Flat,"['0.5 km away', '1.8 km away', '5.7 km away']"
360B New Street Brighton VIC 3186,$2800 per week,"[-37.9009282, 144.9940206]","['5 Beds', '4 Baths', '2 Parking']",***Furnished - Flexible (speak to Stefan to find out more)***,"Friday, 4th November 2022",House,"['1.1 km away', '2.3 km away', '6.6 km away']"
Brighton VIC 3186,Fine Furnished Residences @ Westprecinct,"[-37.9044002, 144.9997396]","['5 Beds', '4 Baths', '3 Parking']",Welcome home to the GOLD STANDARD in furnished accommodation in a Westprecinct Signature Residence!,Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.4 km away', '6 km away']"
251/350 St Kilda Road Melbourne VIC 3000,$2800 Per Week,"[-37.831142, 144.9708545]","['3 Beds', '3 Baths', '3 Parking']","Commanding a premier position in the most prestigious ""St James"" building, this 25th-floor sub-penthouse of exceptional proportions takes in panoramic views and delivers a lifestyle of refinement within walking distance to the Shrine of Remembrance, the Royal Botanic Gardens, Albert Park Lake, and restaurants. Uninterrupted panoramic views over the city of Melbourne, Port Phillip Bay, The",Available Now,Apartment / Unit / Flat,"['1.3 km away', '2.6 km away', '2.9 km away']"
18e/481 St Kilda Road Melbourne VIC 3004,$2800 Per Week,"[-37.8421147, 144.9787599]","['3 Beds', '3 Baths', '2 Parking']",Darren McMullin,Available Now,Apartment / Unit / Flat,"['0.6 km away', '1.5 km away', '3.3 km away']"
19 Buckley St Noble Park VIC 3174,"$2,800 mth + GST + outgoings","[-37.96695870000001, 145.1745618]",[],"Retail Opportunity in Noble Park!
Get in quick to snap up this retail opportunity on Buckley St!
Featuring a shop front with good street exposure, carpet flooring, Shelving installed, small backroom with sink space &amp; short distance to Noble Park Railway Station and shops. 3 year lease term (negotiable) and fixed yearly review. Outgoings include water, council rates and insurance plus all usage",Available Now,House,"['0.5 km away', '0.8 km away', '10.8 km away']"
2401/14-16 The Esplanade St Kilda VIC 3182,"$2,800","[-37.8650177, 144.9746821]","['3 Beds', '2 Baths', '2 Parking']",Kelsey Proskewitz,Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
2601/14-16 The Esplanade St Kilda VIC 3182,"$2,700","[-37.8650177, 144.9746821]","['3 Beds', '2 Baths', '2 Parking']","Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage. Saint Moritz is a lush resort-style oasis of three private",Available Now,Apartment / Unit / Flat,"['0.8 km away', '2.1 km away', '4.3 km away']"
