,sum_sq,df,F,PR(>F)
C(property_type),4004823.3009303208,14.0,6.6373265198599665,1.3546229121412049e-13
C(bedrooms),25398281.501434322,11.0,53.57343668817135,4.080512320743807e-114
C(bathrooms),31514680.68355863,9.0,81.24717350041273,1.217086207388531e-143
C(parking),2815069.144945406,13.0,5.0243926773351095,6.448717776507091e-09
schools,1110345.3806631875,1.0,25.762971303615103,3.9647611063278585e-07
train_station,10170192.197475664,1.0,235.9755570643431,2.320107300965869e-52
CBD,22282922.239007823,1.0,517.0231679275885,2.689856011443926e-110
population2022,4878716.655641191,1.0,113.19922556230274,3.164386865807515e-26
income2022,700146.1389003855,1.0,16.245255934737976,5.626814422621323e-05
Residual,287423886.64632523,6669.0,,
