name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025
31 Kenswick Street Point Cook VIC 3030,3030,House,3,2,2,0.2,$420 per week,7038.7,30424.3,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
302/7 Thomas Holmes Street Maribyrnong VIC 3032,3032,House,2,2,1,0.6,$450 weekly,2273.3,9278.5,35686.0,34957.0,34252.0,33571.0,199379,207294,215524,224082
8/142 New Street Brighton VIC 3186,3186,Apartment / Unit / Flat,2,1,1,0.5,$515.00,933.6,13094.5,23358.0,22572.0,21812.0,21078.0,69402,71772,74223,76758
304C/59 John Street Brunswick East VIC 3057,3057,Apartment / Unit / Flat,2,2,1,0.7,$500,2240.1,5658.7,14522.0,14550.0,14578.0,14607.0,73120,77122,81343,85795
17b Madeley St Ocean Grove VIC 3226,3226,Townhouse,3,2,2,0.3,$700.00,22299.5,103424.4,5003.0,5217.0,5441.0,5674.0,59258,61043,62882,64776
8 Battersea Rise Ocean Grove VIC 3226,3226,House,3,2,0,0.9,$600.00,25247.7,105513.2,5003.0,5217.0,5441.0,5674.0,59258,61043,62882,64776
117 John Dory Dr Ocean Grove VIC 3226,3226,House,3,2,1,0.5,$580.00,23269.1,103534.7,5003.0,5217.0,5441.0,5674.0,59258,61043,62882,64776
21 Summerlea Road Narre Warren VIC 3805,3805,House,3,1,1,0.7,$380 Per Week,2967.3,41451.7,28242.0,27981.0,27725.0,27474.0,115082,118900,122847,126927
2/1 Oak Grove Brighton VIC 3186,3186,Townhouse,4,2,2,1.1,"$1,125 per week",455.7,11842.7,23358.0,22572.0,21812.0,21078.0,69402,71772,74223,76758
1/864 Hampton Street Brighton East VIC 3187,3187,House,3,4,2,0.5,"$1,600",1347.9,14787.8,20864.0,20462.0,20067.0,19680.0,133966,138676,143557,148615
19 Quadrant Approach Williams Landing VIC 3027,3027,House,4,3,2,0.9,$460 Per Week,1705.5,25697.9,21998.0,22437.0,22889.0,23352.0,113450,115295,117172,119081
862 Hampton Street Brighton VIC 3186,3186,House,4,4,3,0.5,"$1,800",1332.2,14803.5,23358.0,22572.0,21812.0,21078.0,69402,71772,74223,76758
2 Wagner Close Cranbourne East VIC 3977,3977,House,3,2,1,1.0,$395,4665.0,56373.6,151306.0,158304.0,165983.0,174412.0,430078,446475,463552,481340
2/124 West Fyans Street Newtown VIC 3220,3220,Townhouse,3,2,2,0.6,$590,1995.9,78768.7,21151.0,21115.0,21079.0,21043.0,115692,118378,121126,123938
2105/639 Lonsdale Street Melbourne VIC 3000,3000,Apartment / Unit / Flat,2,1,0,2.0,$520/W Unfurnished,1575.7,1220.5,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077
15 Oliver Court Narre Warren South VIC 3805,3805,House,4,2,4,1.0,580 P.W,4412.7,46560.8,28242.0,27981.0,27725.0,27474.0,115082,118900,122847,126927
15 Orr Street Manifold Heights VIC 3218,3218,House,5,2,2,0.3,$690.00,3148.2,75538.8,19644.0,19858.0,20074.0,20294.0,132079,138025,144254,150781
8303/228 La Trobe Street Melbourne VIC 3000,3000,Apartment / Unit / Flat,2,2,0,1.0,$870 W Furnished Car Space Optional,547.8,841.4,41911.0,37220.0,33055.0,29355.0,23639,24109,24588,25077
54 Tobin Way Lyndhurst VIC 3975,3975,House,4,2,1,1.3,$525 Per Week,1044.0,44908.2,18204.0,18337.0,18471.0,18606.0,58421,59419,60434,61466
13/55 Moreland Street Footscray VIC 3011,3011,Apartment / Unit / Flat,2,1,2,0.6,$500,878.4,6285.5,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059
3/269 Williams Road South Yarra VIC 3141,3141,Townhouse,2,2,1,0.6,$600 per week,533.8,6172.6,21173.0,20160.0,19196.0,18280.0,101617,99762,99049,99286
21 Highfield Road Cairnlea VIC 3023,3023,House,3,2,2,1.2,$450 Per Week,3620.6,24722.4,52422.0,53061.0,54260.0,56204.0,368141,381742,396028,411040
2/66A Gould Street Frankston VIC 3199,3199,Townhouse,3,2,1,1.4,$520 pw,2379.8,53165.5,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348
22 Grassland Drive Point Cook VIC 3030,3030,House,4,2,2,1.1,$620,6892.7,28998.8,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
24 Bonsallo Walk Tarneit VIC 3029,3029,Townhouse,3,2,2,1.3,$400 per week,4824.9,30591.5,100224.0,104172.0,108388.0,112884.0,169694,173516,177436,181457
G02/23 Kurneh Place South Yarra VIC 3141,3141,Apartment / Unit / Flat,3,3,2,0.8,$3000 Per Week,1333.1,3915.8,21173.0,20160.0,19196.0,18280.0,101617,99762,99049,99286
161 Albion Street Brunswick West VIC 3055,3055,House,2,1,0,0.7,$480.00,558.8,6815.2,26235.0,25552.0,24889.0,24246.0,141250,149574,158392,167734
103/265 Grange Road Ormond VIC 3204,3204,Apartment / Unit / Flat,2,1,1,0.8,$430 per week,789.8,15614.9,29912.0,29401.0,28906.0,28426.0,132566,137689,143019,148565
1601/28-44 Bouverie Street Carlton VIC 3053,3053,Apartment / Unit / Flat,1,1,0,0.8,$470 weekly,1289.4,1583.0,20750.0,18664.0,16787.0,15099.0,35718,36817,37950,39118
3 Magnetic Avenue Point Cook VIC 3030,3030,House,5,3,2,0.5,$525.00 per week,5705.5,27995.4,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
11 Casale Court Frankston VIC 3199,3199,House,4,2,3,0.4,$595 per week,3893.6,58819.0,60500.0,59711.0,58932.0,58164.0,176387,182176,188161,194348
2/62 Hillside Street Springvale VIC 3171,3171,House,2,1,2,0.4,$470 weekly,2998.8,30044.8,21806.0,20844.0,19925.0,19046.0,39932,40427,40928,41435
2/10 Santander Crescent Point Cook VIC 3030,3030,Apartment / Unit / Flat,2,1,1,0.7,$350 per week,4719.6,27009.5,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
48 Stringyleaf Street Botanic Ridge VIC 3977,3977,House,4,2,1,0.4,$520 per week,6426.3,59847.9,151306.0,158304.0,165983.0,174412.0,430078,446475,463552,481340
 2/5 Murrumbeena Road Murrumbeena VIC 3163,3163,Apartment / Unit / Flat,2,1,1,0.3,$480.00,988.5,14959.9,47117.0,45748.0,44424.0,43142.0,251303,258748,266444,274401
35 Tedcastle Drive Aintree VIC 3336,3336,House,4,2,2,4.5,$440 pw,3740.8,38257.7,4415.0,5931.0,7968.0,10704.0,72222,77809,83828,90313
8 Geraldine Ct Melton VIC 3337,3337,House,4,2,2,0.7,$390,4989.1,47471.2,41376.0,41070.0,40771.0,40479.0,114393,117973,121667,125479
3201/11 Bale Circuit Southbank VIC 3006,3006,Apartment / Unit / Flat,2,2,0,0.9,$600 per week,1540.4,2473.9,28091.0,27075.0,26096.0,25153.0,126739,130222,133801,137480
106 Templewood Cres Avondale Heights VIC 3034,3034,House,4,2,2,0.8,$700 per week,7479.0,12976.0,28349.0,28104.0,27862.0,27621.0,64231,66291,68417,70611
